NY Jets,New England,07,"THU, OCT 16",8:25 PM,CBS,
Minnesota,Buffalo,07,"SUN, OCT 19",1:00 PM,FOX,
Miami,Chicago,07,"SUN, OCT 19",1:00 PM,CBS,
New Orleans,Detroit,07,"SUN, OCT 19",1:00 PM,FOX,
Carolina,Green Bay,07,"SUN, OCT 19",1:00 PM,FOX,
Cincinnati,Indianapolis,07,"SUN, OCT 19",1:00 PM,CBS,
Seattle,St Louis,07,"SUN, OCT 19",1:00 PM,FOX,
Tennessee,Washington,07,"SUN, OCT 19",1:00 PM,CBS,
Cleveland,Jacksonville,07,"SUN, OCT 19",1:00 PM,CBS,
Atlanta,Baltimore,07,"SUN, OCT 19",1:00 PM,FOX,
Kansas City,San Diego,07,"SUN, OCT 19",4:05 PM,CBS,
NY Giants,Dallas,07,"SUN, OCT 19",4:25 PM,FOX,
Arizona,Oakland,07,"SUN, OCT 19",4:25 PM,FOX,
San Francisco,Denver,07,"SUN, OCT 19",8:30 PM,NBC,
Houston,Pittsburgh,07,"MON, OCT 20",8:30 PM,ESPN,
San Diego,Denver,08,"THU, OCT 23",8:25 PM,CBS,
Detroit,Atlanta,08,"SUN, OCT 26",9:30 AM,FOX,
Baltimore,Cincinnati,08,"SUN, OCT 26",1:00 PM,CBS,
Houston,Tennessee,08,"SUN, OCT 26",1:00 PM,FOX,
St Louis,Kansas City,08,"SUN, OCT 26",1:00 PM,FOX,
Chicago,New England,08,"SUN, OCT 26",1:00 PM,FOX,
Buffalo,NY Jets,08,"SUN, OCT 26",1:00 PM,CBS,
Minnesota,Tampa Bay,08,"SUN, OCT 26",1:00 PM,FOX,
Seattle,Carolina,08,"SUN, OCT 26",1:00 PM,CBS,
Miami,Jacksonville,08,"SUN, OCT 26",1:00 PM,CBS,
Philadelphia,Arizona,08,"SUN, OCT 26",4:05 PM,FOX,
Oakland,Cleveland,08,"SUN, OCT 26",4:25 PM,CBS,
Indianapolis,Pittsburgh,08,"SUN, OCT 26",4:25 PM,CBS,
Green Bay,New Orleans,08,"SUN, OCT 26",8:30 PM,NBC,
Washington,Dallas,08,"MON, OCT 27",8:30 PM,ESPN,
